"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-12","Canada","2016A000011124","Food","2002=100","17","units","0","v41690974","2.3","177.9","","","","1"
"2022-12","Canada","2016A000011124","Food purchased from stores","2002=100","17","units","0","v41690975","2.4","176.3","","","","1"
"2022-12","Canada","2016A000011124","Meat","2002=100","17","units","0","v41690976","2.5","196.5","","","","1"
"2022-12","Canada","2016A000011124","Fresh or frozen meat (excluding poultry)","2002=100","17","units","0","v41690977","2.6","201.0","","","","1"
"2022-12","Canada","2016A000011124","Fresh or frozen beef","2002=100","17","units","0","v41690978","2.7","219.1","","","","1"
"2022-12","Canada","2016A000011124","Fresh or frozen pork","2002=100","17","units","0","v41690979","2.8","160.4","","","","1"
"2022-12","Canada","2016A000011124","Fresh or frozen poultry","2002=100","17","units","0","v41690981","2.10","193.0","","","","1"
"2022-12","Canada","2016A000011124","Fresh or frozen chicken","2002=100","17","units","0","v41690982","2.11","198.7","","","","1"
"2022-12","Canada","2016A000011124","Processed meat","2002=100","17","units","0","v41690984","2.13","189.7","","","","1"
"2022-12","Canada","2016A000011124","Ham and bacon","2002=100","17","units","0","v41690985","2.14","182.5","","","","1"
"2022-12","Canada","2016A000011124","Other processed meat","2002=100","17","units","0","v41690986","2.15","197.4","","","","1"
"2022-12","Canada","2016A000011124","Fish, seafood and other marine products","2002=100","17","units","0","v41690987","2.16","161.5","","","","1"
"2022-12","Canada","2016A000011124","Fish","2002=100","17","units","0","v41690988","2.17","181.4","","","","1"
"2022-12","Canada","2016A000011124","Fresh or frozen fish (including portions and fish sticks)","2002=100","17","units","0","v41690989","2.18","178.6","","","","1"
"2022-12","Canada","2016A000011124","Canned and other preserved fish","2002=100","17","units","0","v41690990","2.19","184.6","","","","1"
"2022-12","Canada","2016A000011124","Dairy products and eggs","2002=100","17","units","0","v41690992","2.21","163.4","","","","1"
"2022-12","Canada","2016A000011124","Dairy products","2002=100","17","units","0","v41690993","2.22","159.2","","","","1"
"2022-12","Canada","2016A000011124","Fresh milk","2002=100","17","units","0","v41690994","2.23","169.4","","","","1"
"2022-12","Canada","2016A000011124","Butter","2002=100","17","units","0","v41690995","2.24","185.1","","","","1"
"2022-12","Canada","2016A000011124","Cheese","2002=100","17","units","0","v41690996","2.25","148.4","","","","1"
"2022-12","Canada","2016A000011124","Ice cream and related products","2002=100","17","units","0","v41690997","2.26","142.0","","","","1"
"2022-12","Canada","2016A000011124","Eggs","2002=100","17","units","0","v41690999","2.28","209.0","","","","1"
"2022-12","Canada","2016A000011124","Bakery and cereal products (excluding baby food)","2002=100","17","units","0","v41691000","2.29","188.3","","","","1"
"2022-12","Canada","2016A000011124","Bakery products","2002=100","17","units","0","v41691001","2.30","199.1","","","","1"
"2022-12","Canada","2016A000011124","Bread, rolls and buns","2002=100","17","units","0","v41691002","2.31","218.8","","","","1"
"2022-12","Canada","2016A000011124","Cookies and crackers","2002=100","17","units","0","v41691003","2.32","168.5","","","","1"
"2022-12","Canada","2016A000011124","Other bakery products","2002=100","17","units","0","v41691004","2.33","187.0","","","","1"
"2022-12","Canada","2016A000011124","Cereal products (excluding baby food)","2002=100","17","units","0","v41691005","2.34","168.3","","","","1"
"2022-12","Canada","2016A000011124","Rice and rice-based mixes","2002=100","17","units","0","v41691006","2.35","173.9","","","","1"
"2022-12","Canada","2016A000011124","Breakfast cereal and other cereal products (excluding baby food)","2002=100","17","units","0","v41691007","2.36","153.8","","","","1"
"2022-12","Canada","2016A000011124","Pasta products","2002=100","17","units","0","v41691008","2.37","194.3","","","","1"
"2022-12","Canada","2016A000011124","Flour and flour-based mixes","2002=100","17","units","0","v41691009","2.38","176.6","","","","1"
"2022-12","Canada","2016A000011124","Fruit, fruit preparations and nuts","2002=100","17","units","0","v41691010","2.39","161.7","","","","1"
"2022-12","Canada","2016A000011124","Fresh fruit","2002=100","17","units","0","v41691011","2.40","161.5","","","","1"
"2022-12","Canada","2016A000011124","Apples","2002=100","17","units","0","v41691012","2.41","191.4","","","","1"
"2022-12","Canada","2016A000011124","Oranges","2002=100","17","units","0","v41691013","2.42","185.6","","","","1"
"2022-12","Canada","2016A000011124","Bananas","2002=100","17","units","0","v41691014","2.43","138.8","","","","1"
"2022-12","Canada","2016A000011124","Other fresh fruit","2002=100","17","units","0","v41691015","2.44","150.6","","","","1"
"2022-12","Canada","2016A000011124","Preserved fruit and fruit preparations","2002=100","17","units","0","v41691016","2.45","155.2","","","","1"
"2022-12","Canada","2016A000011124","Fruit juices","2002=100","17","units","0","v41691017","2.46","156.8","","","","1"
"2022-12","Canada","2016A000011124","Other preserved fruit and fruit preparations","2002=100","17","units","0","v41691018","2.47","149.5","","","","1"
"2022-12","Canada","2016A000011124","Nuts and seeds","2002=100","17","units","0","v41691019","2.48","172.4","","","","1"
"2022-12","Canada","2016A000011124","Vegetables and vegetable preparations","2002=100","17","units","0","v41691020","2.49","185.6","","","","1"
"2022-12","Canada","2016A000011124","Fresh vegetables","2002=100","17","units","0","v41691021","2.50","188.7","","","","1"
"2022-12","Canada","2016A000011124","Potatoes","2002=100","17","units","0","v41691022","2.51","142.5","","","","1"
"2022-12","Canada","2016A000011124","Tomatoes","2002=100","17","units","0","v41691023","2.52","171.9","","","","1"
"2022-12","Canada","2016A000011124","Lettuce","2002=100","17","units","0","v41691024","2.53","241.8","","","","1"
"2022-12","Canada","2016A000011124","Other fresh vegetables","2002=100","17","units","0","v41691025","2.54","207.4","","","","1"
"2022-12","Canada","2016A000011124","Preserved vegetables and vegetable preparations","2002=100","17","units","0","v41691026","2.55","176.5","","","","1"
"2022-12","Canada","2016A000011124","Frozen and dried vegetables","2002=100","17","units","0","v41691027","2.56","179.0","","","","1"
"2022-12","Canada","2016A000011124","Canned vegetables and other vegetable preparations","2002=100","17","units","0","v41691028","2.57","177.4","","","","1"
"2022-12","Canada","2016A000011124","Other food products and non-alcoholic beverages","2002=100","17","units","0","v41691029","2.58","163.3","","","","1"
"2022-12","Canada","2016A000011124","Sugar and confectionery","2002=100","17","units","0","v41691030","2.59","156.5","","","","1"
"2022-12","Canada","2016A000011124","Edible fats and oils","2002=100","17","units","0","v41691033","2.62","215.6","","","","1"
"2022-12","Canada","2016A000011124","Coffee and tea","2002=100","17","units","0","v41691036","2.65","153.7","","","","1"
"2022-12","Canada","2016A000011124","Condiments, spices and vinegars","2002=100","17","units","0","v41691039","2.68","155.5","","","","1"
"2022-12","Canada","2016A000011124","Other food preparations","2002=100","17","units","0","v41691040","2.69","167.7","","","","1"
"2022-12","Canada","2016A000011124","Non-alcoholic beverages","2002=100","17","units","0","v41691045","2.74","158.8","","","","1"
"2022-12","Canada","2016A000011124","Food purchased from restaurants","2002=100","17","units","0","v41691046","2.75","181.2","","","","1"
"2022-12","Canada","2016A000011124","Food purchased from table-service restaurants","2002=100","17","units","0","v41691047","2.76","182.6","","","","1"
"2022-12","Canada","2016A000011124","Food purchased from fast food and take-out restaurants","2002=100","17","units","0","v41691048","2.77","178.4","","","","1"


